"Part";"Value";"Device";"Package";"Description"
"C1";"470Âµ";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol"
"C2";"4u7";"CPOL-EUE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, European symbol"
"D1";"1N4004";"1N4004";"DO41-10";"DIODE"
"D2";"1N4004";"1N4004";"DO41-10";"DIODE"
"H1";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round"
"H2";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round"
"H3";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round"
"H4";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"MOUNTING PAD, round"
"JP1";"";"PINHD-1X7/90";"1X07/90";"PIN HEADER"
"K1";"G6K-2P";"G6K-2P";"G6K-2P";"Low Signal Relay"
"K2";"G6K-2P";"G6K-2P";"G6K-2P";"Low Signal Relay"
"R1";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol"
"R2";"330";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol"
"R3";"2k7";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol"
"R4";"8k2";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol"
"R5";"10k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol"
"SV1";"";"ML6";"ML6";"HARTING"
"T1";"BC558B";"BC558B-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror"
"T2";"BC548B";"BC548-NPN-TO92-CBE";"TO92-CBE";"NPN Transistror"
"X1";"PN61729-S";"PN61729-S";"PN61729-S";"BERG USB connector"
"X2";"PN87520-S";"PN87520-S";"PN87520-S";""
"X3";"10104110";"10104110";"10104110-0001LF";"10104110 - Micro USB B Type Receptacle"
"X4";"UX60SC-MB-5ST";"UX60SC-MB-5ST";"UX60SC-MB-5ST";"UX60S Series - Mini-B Connectors, SMT mount receptacles meeting requirements of USB 2.0 Standard"
